text,label
"Breaking: Aliens land in New York, government hides evidence",1
"Scientists discover a new species of frog in the Amazon rainforest",0
"Drinking bleach cures all diseases, says rogue doctor",1
"The stock market saw a 2% increase today after tech earnings report",0
"Man claims he can fly after eating magic beans",1
"Local mayor opens new library downtown",0
"Earth is actually flat, shocking new study reveals",1
"NASA launches new rover to explore Mars",0
"Vaccines contain microchips to track citizens",1
"Eating vegetables is good for your health, nutritionists say",0
"Moon landing was filmed in a Hollywood basement",1
"New election law passed by the state senate",0
"Dinosaurs are still alive and hiding in Antarctica",1
"Company X announces new smartphone model for next year",0
"Water freezes at 0 degrees Celsius",0
